AlIMENTO, DIAS DE VIDA, VOLUMEN
LIMON, 10, 0.5
TOMATE, 10, 0.5
CHOCLO, 10, 0.5
POROTOS VERDES, 10, 0.5
ZANAHORIA, 10, 0.5
PERA, 10, 0.5
MIEL, 10, 0.5
MANZANA, 10, 0.5
GARBANZOS, 10, 0.5
PAN INTEGRAL, 10, 0.5
HUEVO, 10, 0.5
LENTEJAS GUISADAS, 10, 0.5
LECHE BLANCA, 10, 0.5
AVENA, 10, 0.5
PAN BLANCO, 10, 0.5
QUESO LAMINADO, 10, 0.5
CEBOLLA, 10, 0.5
YOGURT, 10, 0.5
PAPAS, 10, 0.5
FIDEOS, 10, 0.5
QUESILLO, 10, 0.5
ZAPALLO ITALIANO, 10, 0.5
ARROZ GRANEADO, 10, 0.5
FRUTOS SECOS, 10, 0.5
MANDARINAS, 10, 0.5
